Site,Pop.size,Slope,X_wgs84,Y_wgs84
A05-01,9.30254219689148,-0.518805505057953,121.458795,24.946942
A05-02,0.664094535310935,0.153596887302989,121.506266,24.766808
A09-01,8.40194888916814,-0.295052486745891,121.428259,25.136272
A10-03,5.09498661578484,-0.14357620874735,121.463808,24.838974
A01-02,5.04197760528887,0.448205405997895,121.571266,25.188323
A02-01,2.64333031890941,0.166351215965159,121.82376,25.110136
A02-02,2.0846245496247,-0.341370051727438,121.852532,25.099799
A02-03,2.98527642764411,-0.00713876223869432,121.789781,25.055992
A03-01,0.755129861441784,0.115627711419763,121.827147,24.711699
A04-02,1.52108232092812,-0.0795892948789802,121.677085,24.905835
A04-03,4.07096247191051,0.182692160578393,121.770515,24.871635
A04-04,7.57427933089444,0.998099493689423,121.523496,25.193907
A04-05,2.40894687453114,1.12411922028038,121.552515,25.162276
A04-06,2.14687083250941,0.283038492612777,121.592464,25.127933
A07-02,1.50824029634367,-0.250381091304822,121.840004,24.486617
A09-02,0.434034502717377,-0.162539704725023,121.312325,25.051679
A09-03,4.01417979983948,-0.455604691398138,121.392938,24.995025
A09-04,7.17013326471783,1.48181591875954,120.97903,24.686458
A09-05,4.79169307290464,0.37882222612806,121.304953,24.847265
A09-06,0.142991154234867,0.014014024003925,121.36276,25.088146
A10-01,4.15830544374059,-0.438870295827058,121.382777,24.893465
A10-02,3.42872529454017,0.630842600194314,121.372443,24.681357
A12-01,1.68229053461685,0.0976896633649794,121.247377,24.758061
A12-02,3.02659302688583,0.00608083921897162,121.234635,24.675306
A16-01,0.143379724115818,0.0182579101613164,121.620688,24.156716
A16-02,0.128544680834159,0.0333511651581799,121.581473,24.171552
A16-03,0.435616315610339,0.0566669636441544,121.514035,24.178078
A16-04,1.45055792462025,0.0380221668258134,121.486722,24.206501
A16-05,0.792362790996349,0.109881247119227,121.467607,24.198977
A17-01,0.12744771093602,0.0578920022331296,121.607475,24.078018
A17-02,1.18146139784233,0.245706962346864,121.439192,23.995487
A17-03,0.433728417806438,-0.0124102708406981,121.517755,23.920741
A17-04,0.761200265420159,0.397295061148466,121.537621,23.900546
A18-01,7.43953515571873,1.04030989618751,121.382173,23.712498
A18-02,9.58800111791061,1.17942782615483,121.473456,23.690629
A18-03,22.100525978069,1.40917315747781,121.374862,23.611165
A19-01,2.16429522273278,-0.204768243726615,121.348513,23.58951
A19-02,11.9929975144454,2.38562070465543,121.394249,23.553244
A19-03,1.51509496049015,0.251841454911327,121.427357,23.498751
A19-04,2.79445389650338,0.0417926404263168,121.345485,23.480605
A19-06,4.30369115260559,0.392777326834369,121.346936,23.346215
A20-01,13.2639416518504,0.347848422575892,121.337769,23.290979
A20-02,5.0114062283451,-0.136596588157042,121.358856,23.10813
A20-03,1.77035739996316,-0.0135715999754376,121.227494,23.329765
A20-04,0.75851424015871,0.018133363703717,121.215202,23.341449
A21-01,2.2773690018555,-0.184679673680707,121.175357,23.107872
A22-01,3.82225695583293,-0.091398795292214,121.174512,22.883026
A22-02,0.28901890501376,-0.0246240588431496,121.033223,22.872552
A24-01,1.31169212923381,-0.441146424228508,120.928656,22.525404
A24-02,1.43833684640801,0.397479139396027,120.878245,22.443342
A26-01,2.78904462688434,0.0453988201723462,120.849713,22.022194
A26-02,1.01459359430155,-0.033538586677222,120.838088,21.988738
A26-03,5.20225338253006,0.317545364027579,120.804817,21.992775
A26-04,1.26743075593236,0.0359985436641385,120.822749,21.956993
A27-05,0.757219028297194,0.328520647801871,120.564988,24.044068
A27-06,0.25346957952402,0.0691155184125581,120.565965,24.060766
A28-02,1.5625101016421,0.500721313029167,120.89566,24.432332
A28-03,0.322016290381946,-0.0617024871598938,120.789594,24.414281
A28-04,2.15727515836823,0.180864180135464,120.731477,24.362154
A28-06,5.54485935624398,0.970093762504014,120.931202,24.30468
A29-01,1.28787842158141,0.107228816783832,120.945863,24.070663
A29-02,1.38982337416669,0.121070131507923,120.78334,24.089824
A29-03,5.16265828766904,0.986799236792072,120.841999,24.058654
A29-04,1.7616977740656,0.730296722051507,120.749924,24.03631
A29-05,0.506143257113317,-0.123143123789831,120.775994,24.174365
